title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Dirty Pretty Things,97,7.3,42217,229,138,78,31,4,0,8.8,74,8,1,1,0
District 9,112,7.9,668318,1400,487,81,30,6,0,8.1,1249,128,136,4,0
Divided We Fall,117,7.6,5143,65,46,69,18,5,0,7.6,9,0,2,1,0
Do the Right Thing,120,7.9,99705,543,114,93,25,1,0,8.2,185,14,13,2,0
Doctor Dolittle,152,6.2,9402,67,28,34,1,3,2,0,1,1,0,9,2
Doctor Zhivago,197,8,75476,327,106,69,11,2,1,8.3,30,3,0,10,5
Dog Day Afternoon,125,8,251556,353,92,86,14,1,0,8.6,75,3,1,6,1
Dogtooth,97,7.2,93272,311,234,73,14,2,1,7.7,108,26,7,1,0
Don Juan DeMarco,97,6.7,50319,141,32,63,12,6,1,7.3,19,9,1,1,0
Donnie Brasco,127,7.7,299008,332,117,76,17,4,0,3,153,13,292,1,0
Double Indemnity,107,8.3,153735,450,156,95,16,1,0,8.5,55,3,0,7,0
Doubt,104,7.5,127938,416,288,68,26,9,1,7.9,141,20,6,5,0
Downfall,156,8.2,349135,674,116,82,32,3,0,8.6,228,12,6,1,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,8.4,478435,1000,231,97,31,0,1,8.4,743,32,71,4,0
Dragonslayer,109,6.6,17769,134,67,68,9,4,0,6,2,4,1,2,0
Dreamgirls,130,6.6,73148,554,238,76,30,6,1,7.3,199,53,41,8,2
Drive,100,7.8,614834,1600,703,78,38,5,0,8.2,1378,129,119,1,0
Driving Miss Daisy,99,7.4,107942,204,70,81,15,2,0,8.2,87,14,2,9,4
Dumbo,64,7.3,129096,191,131,96,11,0,0,7.7,86,15,5,2,1
Dune,137,6.3,159095,876,208,41,5,10,5,6.3,53,39,15,1,0
Earthquake,122,5.9,16011,185,86,56,2,3,1,6.5,1,3,0,5,2
East of Eden,118,7.8,44813,223,96,72,7,3,0,7.5,9,1,1,4,1
Eastern Promises,100,7.6,239252,453,289,82,32,3,0,7.1,238,27,52,1,0
