title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
The Hurricane,104 min,7.2,2577,53,28,,,,,,,,
The Little Match Girl,8 min,7.0,336,10,,,,,,,,,
The Old Mill,9 min,7.8,4215,30,4,,,,,,,,
A Night at the Movies,10 min,6.2,439,11,,,,,,,,,
Portia on Trial,72 min,6.1,64,3,,,,,,,,,
A Damsel in Distress,101 min,6.8,2025,41,16,,,,,,,,
Manhattan Merry-Go-Round,89 min,5.7,146,5,,,,,,,,,
The Man Without a Country,21 min,5.7,169,7,,,,,,,,,
Mannequin,95 min,6.6,1336,24,11,,,,,,,,
Snow White and the Seven Dwarfs,83 min,7.6,194641,307,127,95,14,1,0,8.2,114,12,3
Hitting a New High,85 min,4.9,288,7,4,,,,,,,,
You're a Sweetheart,96 min,5.8,114,3,,,,,,,,,
Wells Fargo,97 min,6.4,575,8,9,,,,,,,,
Deep South,97 min,7.8,10,,,,,,,,,,
Every Day's a Holiday,79 min,6.3,389,12,7,,,,,,,,
In Old Chicago,95 min,6.8,2339,48,17,,,,,,,,
The Buccaneer,126 min,6.6,695,9,9,,,,,,,,
Algiers,96 min,6.7,2793,56,16,,,,,,,,
The Goldwyn Follies,122 min,5.3,467,29,7,,,,,,,,
White Banners,92 min,7.1,420,18,3,,,,,,,,
Of Human Hearts,103 min,6.8,1156,28,10,,,,,,,,
The Adventures of Tom Sawyer,91 min,7.1,2001,24,7,,,,,,,,
The Big Broadcast of 1938,91 min,6.2,972,32,12,,,,,,,,
Mad About Music,100 min,7.2,485,7,5,,,,,,,,
Merrily We Live,95 min,7.3,1863,59,15,,,,,,,,
Jezebel,104 min,7.5,13411,117,50,,,,,,,,
Test Pilot,119 min,6.8,2383,41,15,,,,,,,,
Under Western Stars,65 min,5.9,362,13,5,,,,,,,,
That Mothers Might Live,10 min,6.3,222,3,,,,,,,,,
Vivacious Lady,90 min,7.2,3627,57,16,,,,,,,,
The Adventures of Robin Hood,102 min,7.9,50458,302,113,97,5,0,0,7.9,55,9,3
Alexander's Ragtime Band,106 min,6.9,2113,35,13,,,,,,,,
Holiday,95 min,7.7,16093,107,63,,,,,,,,
Three Comrades,98 min,7.2,1834,35,17,,,,,,,,
Blockade,85 min,5.6,556,15,4,,,,,,,,
Hunky and Spunky,9 min,5.6,266,8,,,,,,,,,
Tropic Holiday,78 min,5.5,76,2,3,,,,,,,,
They're Always Caught,22 min,6.5,212,9,,,,,,,,,
The Young in Heart,90 min,7.3,1380,30,17,,,,,,,,
Good Scouts,8 min,6.9,993,7,,,,,,,,,
Marie Antoinette,149 min,7.4,2993,77,15,,,,,,,,
Four Daughters,90 min,6.9,1951,37,17,,,,,,,,
Army Girl,80 min,5.5,88,2,,,,,,,,,
Block-Heads,57 min,7.5,3960,50,20,,,,,,,,
Pygmalion,89 min,7.8,8636,94,37,,,,,,,,
You Can't Take It with You,126 min,7.8,25420,174,51,,,,,,,,
Carefree,83 min,7.0,3830,57,20,,,,,,,,
Boys Town,96 min,7.2,5699,60,21,,,,,,,,
Breaking the Ice,81 min,5.1,133,5,,,,,,,,,
Brave Little Tailor,9 min,7.6,2921,16,9,,,,,,,,
If I Were King,101 min,7.2,864,20,7,,,,,,,,
Girls' School,72 min,5.8,199,8,2,,,,,,,,
That Certain Age,95 min,6.6,361,7,4,,,,,,,,
The Lady Objects,66 min,5.4,132,5,,,,,,,,,
There Goes My Heart,83 min,6.6,605,24,3,,,,,,,,
Suez,104 min,6.6,839,15,12,,,,,,,,
The Citadel,110 min,7.1,2101,37,7,,,,,,,,
The Great Waltz,104 min,6.5,1192,50,10,,,,,,,,
The Cowboy and the Lady,91 min,6.6,1564,33,9,,,,,,,,
Storm Over Bengal,65 min,5.4,91,4,,,,,,,,,
Ferdinand the Bull,8 min,7.2,3048,17,7,,,,,,,,
Angels with Dirty Faces,97 min,7.9,21315,159,49,,,,,,,,
The Declaration of Independence,17 min,5.9,247,9,,,,,,,,,
Sweethearts,114 min,6.2,654,22,5,,,,,,,,
Mother Goose Goes Hollywood,8 min,6.4,568,15,,,,,,,,,
Kentucky,96 min,6.3,585,18,5,,,,,,,,
Swingtime in the Movies,20 min,5.8,334,11,2,,,,,,,,
Topper Takes a Trip,80 min,6.5,1307,27,6,,,,,,,,
Going Places,84 min,6.0,374,15,2,,,,,,,,
The Great Heart,11 min,6.3,122,6,,,,,,,,,
Timber Toppers,11 min,7.0,15,,,,,,,,,,
Pacific Liner,76 min,5.7,310,11,6,,,,,,,,
Stagecoach,96 min,7.8,47964,466,115,93,15,0,0,7.8,13,2,1
Love Affair,88 min,7.3,5365,67,44,91,8,0,0,tbd,1,2,0
Wuthering Heights,104 min,7.6,17900,155,37,,,,,,,,
Ugly Duckling,9 min,7.6,3071,16,5,,,,,,,,
Busy Little Bears,10 min,6.5,21,,,,,,,,,,
Dark Victory,104 min,7.5,11034,106,56,,,,,,,,
Juarez,125 min,6.9,2340,45,12,,,,,,,,
Union Pacific,135 min,7.1,3017,41,28,,,,,,,,
Man of Conquest,105 min,6.2,160,5,8,,,,,,,,
Only Angels Have Wings,121 min,7.7,13858,88,102,86,9,1,0,7.3,11,2,1
"Goodbye, Mr. Chips",114 min,7.9,10567,114,38,,,,,,,,
Prophet Without Honor,11 min,6.2,139,5,,,,,,,,,
Sons of Liberty,20 min,5.8,355,18,,,,,,,,,
Captain Fury,92 min,6.1,294,7,8,,,,,,,,
