title,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score
Plymouth Adventure,23,11,,,,,,,,
"Come Back, Little Sheba",67,15,,,,,,,,
Moulin Rouge,66,30,,,,,,,,
The Bad and the Beautiful,130,88,,,,,,,,
Bear Country,6,4,,,,,,,,
The Alaskan Eskimo,,,,,,,,,,
Call Me Madam,53,13,,,,,,,,
Lili,62,19,,,,,,,,
Johann Mouse,10,3,,,,,,,,
The War of the Worlds,282,83,78,8,0,0,7.1,11,7,0
Titanic,105,23,,,,,,,,
Shane,329,86,80,8,3,0,8.0,9,2,0
Julius Caesar,89,35,,,,,,,,
Stalag 17,172,98,84,13,2,0,7.8,9,1,0
The Sea Around Us,13,7,,,,,,,,
From Here to Eternity,195,124,85,19,1,1,7.8,29,2,4
Roman Holiday,327,133,78,7,1,0,8.4,88,8,4
The Robe,93,48,,,,,,,,
Calamity Jane,96,29,,,,,,,,
Gate of Hell,31,47,,,,,,,,
The Living Desert,21,8,69,4,0,0,tbd,0,0,0
"Toot, Whistle, Plunk and Boom",11,3,,,,,,,,
Overture to the Merry Wives of Windsor,8,,,,,,,,,
The Glenn Miller Story,67,28,,,,,,,,
A Time Out of War,3,,,,,,,,,
Three Coins in the Fountain,54,20,,,,,,,,
The High and the Mighty,187,40,,,,,,,,
Thursday's Children,6,2,,,,,,,,
The Unconquered,2,,,,,,,,,
On the Waterfront,376,165,91,15,0,0,8.7,175,15,7
"20,000 Leagues Under the Sea",159,80,83,6,0,0,7.9,12,0,0
Seven Brides for Seven Brothers,180,69,75,6,1,0,8.2,8,1,0
Broken Lance,52,27,,,,,,,,
The Vanishing Prairie,9,6,,,,,,,,
This Mechanical Age,,,,,,,,,,
Sabrina,213,101,72,5,1,0,7.8,46,7,1
The Road,167,112,,,,,,,,
The Barefoot Contessa,111,49,,,,,,,,
The Country Girl,70,32,,,,,,,,
The Bridges at Toko-Ri,70,22,,,,,,,,
When Magoo Flew,5,5,,,,,,,,
East of Eden,223,96,72,7,3,0,7.5,9,1,1
Marty,182,82,,,,,,,,
Interrupted Melody,28,9,,,,,,,,
Love Me or Leave Me,79,35,,,,,,,,
Mister Roberts,105,34,72,10,2,0,tbd,1,0,0
To Catch a Thief,280,150,82,18,1,0,6.8,5,3,0
Love Is a Many-Splendored Thing,81,31,,,,,,,,
The Bespoke Overcoat,9,3,,,,,,,,
Speedy Gonzales,17,3,,,,,,,,
Survival City,,,,,,,,,,
Oklahoma!,117,47,74,13,2,0,tbd,0,0,0
I'll Cry Tomorrow,36,19,,,,,,,,
The Rose Tattoo,41,21,,,,,,,,
Men Against the Arctic,,,,,,,,,,
Picnic,139,60,,,,,,,,
The Face of Lincoln,,,,,,,,,,
Crashing the Water Barrier,6,,,,,,,,,
The Man Who Knew Too Much,286,90,76,9,1,0,8.4,28,1,0
The Red Balloon,115,45,,,,,,,,
The Silent World,13,14,,,,,,,,
The King and I,112,39,72,4,2,0,8.1,6,0,1
Somebody Up There Likes Me,73,31,,,,,,,,
Magoo's Puddle Jumper,3,4,,,,,,,,
Lust for Life,90,62,,,,,,,,
The Solid Gold Cadillac,29,16,,,,,,,,
Written on the Wind,101,69,86,14,1,0,tbd,1,1,0
The Ten Commandments,322,88,,,,,,,,
Giant,195,117,84,13,2,0,6.9,5,2,1
Around the World in 80 Days,162,44,69,7,3,0,tbd,0,0,0
The Brave One,9,8,,,,,,,,
Anastasia,64,39,,,,,,,,
Designing Woman,52,24,,,,,,,,
Nights of Cabiria,122,102,,,,,,,,
The Wetback Hound,,,,,,,,,,
Birds Anonymous,13,2,,,,,,,,
The Joker Is Wild,31,10,,,,,,,,
The Three Faces of Eve,67,45,,,,,,,,
The Bridge on the River Kwai,368,104,87,13,2,0,8.4,67,5,1
Les Girls,45,24,,,,,,,,
Albert Schweitzer,,2,,,,,,,,
Sayonara,51,23,,,,,,,,
The True Story of the Civil War,,,,,,,,,,
The Enemy Below,113,26,,,,,,,,
South Pacific,136,34,,,,,,,,
Mon Oncle,79,90,,,,,,,,
Gigi,149,77,82,11,2,0,6.8,5,2,1
The Defiant Ones,94,59,69,6,2,0,7.5,3,1,0
Ama Girls,2,,,,,,,,,
White Wilderness,6,8,,,,,,,,
The Big Country,201,58,,,,,,,,
Knighty Knight Bugs,16,3,,,,,,,,
The Old Man and the Sea,59,14,49,2,5,1,tbd,0,0,0
I Want to Live!,88,35,,,,,,,,
Tom Thumb,46,14,,,,,,,,
Grand Canyon,6,,,,,,,,,
Separate Tables,90,28,68,6,1,0,tbd,0,0,0
Room at the Top,61,42,84,6,0,0,tbd,3,0,0
Glass,5,3,,,,,,,,
Moonbird,10,,,,,,,,,
The Diary of Anne Frank,67,33,59,5,5,0,5.8,2,1,1
Some Like It Hot,482,225,98,19,0,0,8.4,147,12,4
Black Orpheus,86,76,81,7,1,0,7.8,15,2,2
Porgy and Bess,67,10,77,3,1,0,tbd,0,0,0
Serengeti,3,2,,,,,,,,
A Hole in the Head,36,24,,,,,,,,
Pillow Talk,108,51,73,8,2,0,tbd,0,0,0
The Golden Fish,7,,,,,,,,,
Ben-Hur,488,133,90,9,0,0,8.8,101,4,4
La Dolce Vita,212,164,95,13,0,0,8.3,64,8,3
The Virgin Spring,111,110,,,,,,,,
Sons and Lovers,22,16,,,,,,,,
Never on Sunday,31,16,,,,,,,,
The Time Machine,255,82,67,5,4,0,6.9,9,0,1
The Apartment,394,235,94,20,1,0,8.7,43,1,1
Elmer Gantry,99,49,,,,,,,,
Song Without End,17,4,,,,,,,,
Day of the Painter,5,,,,,,,,,
Spartacus,351,129,87,16,1,0,8.4,71,10,2
The Alamo,136,48,,,,,,,,
BUtterfield 8,115,22,48,2,5,2,tbd,0,0,0
The Facts of Life,32,10,,,,,,,,
Exodus,90,31,,,,,,,,
The Horse with the Flying Tail,8,,,,,,,,,
Two Women,55,37,,,,,,,,
Giuseppina,6,,,,,,,,,
The Guns of Navarone,185,48,72,6,2,0,tbd,1,1,0
"The Sky Above, the Mud Below",8,3,,,,,,,,
Splendor in the Grass,148,57,74,6,4,0,7.0,4,1,0
The Hustler,231,111,90,17,1,0,8.2,16,2,0
Munro,7,,,,,,,,,
Breakfast at Tiffany's,505,185,76,5,1,0,7.5,101,20,7
Through a Glass Darkly,78,63,84,10,0,0,tbd,0,0,0
West Side Story,483,155,86,14,3,0,7.5,48,11,5
Judgment at Nuremberg,247,105,60,3,4,0,8.4,24,2,1
Divorce Italian Style,46,47,,,,,,,,
The Substitute,7,,,,,,,,,
Project Hope,,,,,,,,,,
Seawards the Great Ships,3,,,,,,,,,
A Tribute to Dylan Thomas,,,,,,,,,,
Occurrence at Owl Creek Bridge,64,13,,,,,,,,
Sweet Bird of Youth,46,21,,,,,,,,
The Miracle Worker,111,48,83,7,0,0,7.1,7,0,2
The Hole,7,,,,,,,,,
The Music Man,153,34,,,,,,,,
The Wonderful World of the Brothers Grimm,36,17,,,,,,,,
The Longest Day,252,59,75,4,3,0,7.7,10,1,0
Sundays and Cybèle,36,20,,,,,,,,
Happy Anniversary,4,7,,,,,,,,
What Ever Happened to Baby Jane?,273,115,75,11,4,0,8.0,13,0,1
How the West Was Won,191,46,56,2,4,0,7.3,5,1,0
Lawrence of Arabia,736,159,100,8,0,0,8.7,328,28,20
To Kill a Mockingbird,599,159,88,14,2,0,8.5,77,5,2
Days of Wine and Roses,133,49,74,6,1,0,7.7,5,1,0
Black Fox: The True Story of Adolf Hitler,9,,,,,,,,,
